"beta","kappa","gamma","mu","S0","E0","I0","R0","obj_fn"
1.0735955641994,0.708020378429101,0.637812702099359,0.115339852919439,0.99999955653987,2.51609845208124e-07,1.22978095249425e-07,3.38784209692957e-07,118.118891752509
0.347460502620522,0.735678271618318,0.688511398329224,0.400458133285249,0.999999723640431,7.51409437094441e-08,7.78710516461526e-08,3.75401014359722e-10,562.009813645323
0.0543674966114287,0.8895713936635,0.940782301128338,0.0624702282843817,0.99999971770243,8.1393040793409e-08,8.34175122979274e-08,2.53499391638092e-08,562.009681094505
1.2782398036216,0.0760791144972455,0.469532761245502,0.113493013986422,0.999999999997109,1.2023263794876e-05,3.04085283742786e-06,0.00865823813487005,228.456863017052
0.409350944668926,0.885979540532722,0.616467141790977,0.89794191259733,0.999999723586635,7.51944356719972e-08,7.79054941744098e-08,5.18709194001694e-10,562.010481870848
0.567284001793995,0.908276807383956,0.763012193258978,0.656136017440503,0.999999723559918,7.52274155871727e-08,7.7876377924319e-08,4.6677841736565e-10,562.010099901275
0.140429056352149,0.590848671854558,0.887938047891287,0.503145815259805,0.999999722899228,7.61102824683447e-08,7.86673602645778e-08,4.65730522665611e-09,562.009963886643
0.333760423294494,0.631622773928697,0.906869479015195,0.786732699183729,0.999999677680269,1.23329223384397e-07,1.20753200390168e-07,1.93448366077382e-07,562.010539984301
0.936827875545099,0.670611765713295,0.531188296567194,0.100740236774127,0.999999167982583,2.02445893462606e-07,1.91472363148448e-07,3.71152890194796e-07,118.39154637829
0.0806587593691488,0.305838154171387,0.211628219437746,0.895085907037363,0.999999723573139,7.52356600102149e-08,7.79371102281641e-08,3.16047147699652e-11,562.012045246281
1.1923741963204,0.674803452262353,0.715806788076468,0.128233528992145,0.999999693928854,1.65522032259998e-07,1.85454929647289e-07,9.504195109928e-07,118.385463699215
1.38246771628372,0.181314740436643,0.331698029511391,0.231482111311658,0.999999621951095,1.53742745878655e-08,1.26984619490854e-07,0.00952334117673419,142.522069938491
0.685154887176108,0.0777290545994717,0.0276435153448697,0.0736369286289505,0.999999421965865,4.19440160760759e-07,3.48944835846053e-07,1.27289489699767e-06,118.424369230828
0.933434293718569,0.995050924811455,0.576717433851474,0.0999136441589805,0.999999551712673,1.70490031581739e-07,1.78492264216606e-07,3.59447884982885e-07,117.972043913888
0.0886395576798641,0.836692398938641,0.702476742182972,0.987386071115968,0.999999723781599,7.50059435524404e-08,7.77602734450521e-08,2.03787410410242e-10,562.010743121103
2.21668682370133,0.0955931167893214,0.674854847721915,0.232338883384429,0.999999406199277,1.912385704927e-12,1.40303525701624e-06,0.00940119541162225,137.909999049397
1.67080304553235,0.0745825667687183,0.342646849258457,0.174581631865058,0.999997222671939,2.57865716387738e-06,5.29977949419495e-13,0.00994920613163779,127.659522436352
4.19777235538201,0.0188876679568155,0.395166236237853,0.366249859591552,0.999999801981073,2.26644958429467e-05,1.18888543986586e-11,0.000536759738712467,216.858555102144
1.83626904413241,0.0628100139277089,0.736263914763378,0.154496723573943,0.999999999998623,8.52311492807227e-06,1.17045021698952e-05,0.000121176838253114,283.895784337689
0.676210631753676,0.24844750460586,0.2165301735053,0.0727156571366456,0.999999365985949,3.14383272205221e-07,3.03947710913063e-07,9.18224063039218e-07,118.402940278148
1.27385772666848,0.141071464593284,0.419098953607646,0.130001974747617,0.999999414078209,1.70066618150343e-06,5.36863431751974e-13,2.06513234229441e-05,123.935838198255
2.8646466359658,0.0758127902342655,0.7379571737912,0.29215528599106,0.999995097165596,3.04080808301887e-06,5.03964253424561e-13,0.00786759673473527,135.140334351538
0.168946837380586,0.523782934581511,1.05336099770567,0.940283251507034,0.999999723718171,7.50616121034411e-08,7.77924374365321e-08,8.56851572678798e-12,562.010014892304
3.67515372068435,0.000636358614945575,2.7439949999473e-06,9.73760842916969e-07,0.999997856492092,0.00020260183301349,2.13556431460256e-11,0.00772841260785642,294.68746221797
1.4951287506822,0.411380250748946,0.810027077210602,0.160786066265296,0.999999753172844,2.16336870310081e-07,1.93610052032251e-07,0.000974132706286941,118.38521885725
0.289591933886402,0.728775867192215,0.474675726655058,0.646838598355073,0.999999723656815,7.51301171714012e-08,7.78567400409147e-08,3.09263076825851e-10,562.010108682712
1.18138115592171,0.0434725765304865,0.00897962358273872,0.12705189798153,0.999999784893139,1.09648816482431e-06,1.14818816006921e-07,6.446505071013e-06,118.400317262848
0.0698024519740362,0.0482887430315228,1.11391060927391e-07,0.00451888583151037,0.999914558525482,0.000159711162146393,4.72554809274147e-05,1.36563841788295e-10,340.845986830867
0.197456465652967,0.637424325640048,0.805659022397066,0.242160273785147,0.999999723727364,7.50537302417168e-08,7.77862995124007e-08,9.36143334786879e-12,562.00970132698
1.18254390040401,0.361353953199182,0.580781401080444,0.127239310671264,0.999999569814917,2.75711332497413e-07,1.97230781315314e-07,5.63801709187355e-07,118.362220919005
1.3225723226628,0.0411199476241499,0.352577859076026,0.117468585264831,0.999999999981574,1.583286192711e-05,8.12894311694471e-06,0.00976715290907283,269.450738752651
0.163938295756784,0.177960415319955,1.65460010585832e-06,0.0155411015266526,0.999972777898092,2.72231729797889e-11,9.2594088090964e-06,2.97884927352528e-06,174.329038540321
0.20631094076758,0.936050157343546,1.04629850197886,0.0672937541777665,0.99999972218226,7.66863067191512e-08,7.92089576956957e-08,6.42837068557309e-09,562.009665267755
